corridor_id,corridor_name,habitat_type,zone,latitude,longitude,period,road_pressure,construction_pressure,light_pollution,land_use_change,human_encroachment,movement_activity,road_crossings,protection_coverage
COR-001,Western Forest Corridor,Forest,North,19.6201,73.9757,Q1,42.3,68.7,42.2,21.8,18.4,59.2,0,41.6
COR-001,Western Forest Corridor,Forest,North,19.6654,74.02,Q2,23.3,47.8,65.4,23.7,37.5,37.3,4,50.7
COR-001,Western Forest Corridor,Forest,North,19.627,74.0077,Q3,69.7,62.5,21.7,55.3,16.1,54.6,9,42.4
COR-001,Western Forest Corridor,Forest,North,19.6505,73.9738,Q4,28.3,48.4,49.0,14.6,66.0,54.5,7,44.6
COR-002,Riverine Green Belt,Riverine,West,19.1752,73.4196,Q1,75.5,26.6,35.4,50.6,18.0,48.8,5,15.0
COR-002,Riverine Green Belt,Riverine,West,19.2006,73.3944,Q2,71.6,79.0,47.4,13.3,48.4,54.8,6,53.2
COR-002,Riverine Green Belt,Riverine,West,19.2012,73.3346,Q3,81.5,58.1,6.2,67.0,41.3,61.9,3,50.7
COR-002,Riverine Green Belt,Riverine,West,19.2076,73.43,Q4,76.8,25.8,16.2,18.1,77.2,47.6,4,48.8
COR-003,Northern Wildlife Link,Mountain,North,20.1735,74.2272,Q1,68.3,55.0,24.1,40.6,14.2,68.0,7,41.2
COR-003,Northern Wildlife Link,Mountain,North,20.1449,74.2144,Q2,26.4,70.0,43.8,36.0,39.1,54.6,6,31.0
COR-003,Northern Wildlife Link,Mountain,North,20.1335,74.2913,Q3,73.9,34.1,47.7,58.7,19.8,41.9,5,44.7
COR-003,Northern Wildlife Link,Mountain,North,20.199,74.2681,Q4,83.2,66.5,16.0,56.2,62.4,58.0,6,62.5
COR-004,Eastern Hills Corridor,Mountain,East,18.8969,75.143,Q1,63.8,17.5,33.0,18.7,79.7,44.0,4,50.1
COR-004,Eastern Hills Corridor,Mountain,East,18.8458,75.0838,Q2,73.4,47.0,35.1,27.2,16.4,63.4,7,37.9
COR-004,Eastern Hills Corridor,Mountain,East,18.8698,75.1155,Q3,25.0,55.8,5.3,43.8,45.2,53.2,6,48.5
COR-004,Eastern Hills Corridor,Mountain,East,18.8633,75.078,Q4,19.2,20.0,66.2,51.4,69.2,44.9,3,42.7
COR-005,Coastal Migration Path,Coastal,South,18.6843,72.9095,Q1,29.9,62.8,47.7,35.8,36.1,72.9,5,73.0
COR-005,Coastal Migration Path,Coastal,South,18.615,72.9188,Q2,43.3,17.8,52.4,55.3,76.4,64.9,7,56.5
COR-005,Coastal Migration Path,Coastal,South,18.593,72.8576,Q3,65.8,56.7,24.1,22.4,32.6,53.0,5,19.1
COR-005,Coastal Migration Path,Coastal,South,18.5864,72.8427,Q4,57.0,21.5,32.8,32.0,73.7,58.0,7,41.9
COR-006,Central Grassland Link,Grassland,Central,20.0322,75.0296,Q1,26.8,36.4,69.2,52.3,56.2,57.4,6,58.0
COR-006,Central Grassland Link,Grassland,Central,19.9776,75.0184,Q2,78.6,34.4,52.8,55.2,60.3,42.2,8,45.7
COR-006,Central Grassland Link,Grassland,Central,20.0609,75.0394,Q3,34.9,11.4,37.7,40.3,51.5,54.3,8,56.5
COR-006,Central Grassland Link,Grassland,Central,20.0598,75.0382,Q4,21.4,57.2,68.8,66.4,21.3,61.3,4,45.8
COR-007,Southern Forest Arc,Forest,South,17.8311,73.9027,Q1,70.9,15.3,61.2,28.4,55.2,62.5,3,33.5
COR-007,Southern Forest Arc,Forest,South,17.8543,73.8887,Q2,15.3,73.5,52.3,50.6,72.0,65.2,4,63.2
COR-007,Southern Forest Arc,Forest,South,17.8449,73.9173,Q3,74.1,26.5,57.1,62.4,65.0,79.6,1,51.7
COR-007,Southern Forest Arc,Forest,South,17.894,73.9805,Q4,36.6,54.6,53.1,69.0,16.8,38.0,0,40.6
COR-008,River Valley Connector,Riverine,Central,19.8066,74.686,Q1,26.4,70.7,62.9,63.8,55.0,59.5,7,34.4
COR-008,River Valley Connector,Riverine,Central,19.8428,74.6958,Q2,70.4,26.0,9.4,53.2,50.5,67.1,6,50.3
