corridor_id,corridor_name,year,forest_pct,grassland_pct,agriculture_pct,builtup_pct,wetland_pct,habitat_integrity_score
COR-001,Western Forest Corridor,2022,65.4,45.0,30.4,17.3,19.6,36.3
COR-001,Western Forest Corridor,2023,61.0,39.2,22.4,13.6,18.9,60.0
COR-001,Western Forest Corridor,2024,65.3,31.1,25.7,23.5,21.3,75.5
COR-001,Western Forest Corridor,2025,63.1,31.3,29.3,28.9,19.1,60.1
COR-001,Western Forest Corridor,2026,60.4,33.2,27.8,33.2,19.5,98.0
COR-002,Riverine Green Belt,2022,64.8,36.1,29.6,15.3,18.8,80.7
COR-002,Riverine Green Belt,2023,57.8,33.7,19.8,17.3,16.7,51.9
COR-002,Riverine Green Belt,2024,70.9,34.3,27.1,21.4,17.7,77.1
COR-002,Riverine Green Belt,2025,52.5,39.5,18.8,26.7,17.9,49.1
COR-002,Riverine Green Belt,2026,51.4,29.8,32.0,29.5,15.1,69.2
COR-003,Northern Wildlife Link,2022,71.6,36.8,20.8,14.0,17.8,83.2
COR-003,Northern Wildlife Link,2023,63.3,35.0,27.0,16.9,19.5,98.0
COR-003,Northern Wildlife Link,2024,62.4,31.5,27.9,21.2,16.4,57.5
COR-003,Northern Wildlife Link,2025,70.4,36.0,19.7,32.7,21.1,66.5
COR-003,Northern Wildlife Link,2026,66.9,28.4,21.8,25.1,14.5,83.0
COR-004,Eastern Hills Corridor,2022,66.1,37.3,27.8,19.2,14.5,70.9
COR-004,Eastern Hills Corridor,2023,62.4,39.4,19.6,20.4,21.3,76.4
COR-004,Eastern Hills Corridor,2024,59.8,35.9,19.6,26.6,20.9,56.9
COR-004,Eastern Hills Corridor,2025,60.7,31.1,23.1,23.1,14.8,74.7
COR-004,Eastern Hills Corridor,2026,50.7,30.1,26.2,29.0,21.5,50.0
COR-005,Coastal Migration Path,2022,73.7,43.0,28.4,10.6,21.8,87.6
COR-005,Coastal Migration Path,2023,62.1,43.4,29.5,19.7,15.6,98.0
COR-005,Coastal Migration Path,2024,60.7,35.3,25.8,21.1,19.1,51.8
COR-005,Coastal Migration Path,2025,62.1,38.5,31.8,28.6,17.1,82.1
COR-005,Coastal Migration Path,2026,56.1,31.8,25.4,28.4,21.7,98.0
COR-006,Central Grassland Link,2022,73.6,41.1,32.5,16.5,16.4,47.2
COR-006,Central Grassland Link,2023,72.1,36.6,23.6,25.2,17.3,72.7
COR-006,Central Grassland Link,2024,69.5,35.5,18.2,18.7,14.2,98.0
COR-006,Central Grassland Link,2025,56.8,35.1,28.8,28.4,20.3,79.7
COR-006,Central Grassland Link,2026,58.8,34.7,31.8,31.8,17.8,90.3
COR-007,Southern Forest Arc,2022,68.1,41.4,25.2,10.9,15.4,68.9
COR-007,Southern Forest Arc,2023,69.2,42.9,20.9,22.4,21.2,83.3
COR-007,Southern Forest Arc,2024,62.8,34.4,23.1,22.2,16.0,47.9
COR-007,Southern Forest Arc,2025,63.4,36.8,23.9,24.9,16.9,64.9
COR-007,Southern Forest Arc,2026,62.1,37.8,19.2,21.2,16.5,70.3
COR-008,River Valley Connector,2022,74.1,43.1,30.0,15.4,17.5,52.2
COR-008,River Valley Connector,2023,71.2,34.2,27.0,13.8,19.3,57.2
COR-008,River Valley Connector,2024,65.8,38.6,30.2,19.1,19.2,37.8
COR-008,River Valley Connector,2025,52.4,33.9,21.0,25.2,16.4,54.3
COR-008,River Valley Connector,2026,65.3,29.7,20.5,23.5,21.4,71.6
COR-009,Western Ridge Passage,2022,73.5,43.2,25.8,21.5,20.2,35.9
COR-009,Western Ridge Passage,2023,69.3,39.0,18.9,13.9,14.2,79.3
COR-009,Western Ridge Passage,2024,54.0,37.8,21.3,23.7,15.4,53.0
COR-009,Western Ridge Passage,2025,68.5,36.7,17.3,26.1,17.1,67.5
COR-009,Western Ridge Passage,2026,61.3,32.5,24.2,17.3,16.6,70.7
COR-010,Coastal Wetland Link,2022,61.4,39.2,19.5,19.5,15.5,73.0
COR-010,Coastal Wetland Link,2023,63.8,37.2,30.8,20.9,15.1,77.6
COR-010,Coastal Wetland Link,2024,63.1,33.4,30.9,17.1,19.4,94.6
COR-010,Coastal Wetland Link,2025,50.4,42.7,25.2,21.2,19.3,66.8
COR-010,Coastal Wetland Link,2026,57.3,39.4,17.4,30.7,14.3,53.0
COR-011,Eastern Forest Bridge,2022,69.0,41.5,20.6,13.2,18.5,77.9
COR-011,Eastern Forest Bridge,2023,71.6,38.7,26.4,21.7,17.0,33.5
COR-011,Eastern Forest Bridge,2024,64.7,40.3,23.8,25.3,16.1,71.3
COR-011,Eastern Forest Bridge,2025,56.4,35.3,23.3,24.2,21.7,57.7
COR-011,Eastern Forest Bridge,2026,65.0,33.3,28.1,23.4,20.1,55.8
COR-012,Plateau Grassland Route,2022,74.0,44.2,21.7,18.6,16.7,51.3
COR-012,Plateau Grassland Route,2023,60.1,43.0,27.3,25.0,15.9,71.4
COR-012,Plateau Grassland Route,2024,59.4,36.8,28.3,15.2,21.4,75.5
COR-012,Plateau Grassland Route,2025,51.1,43.0,20.3,30.5,17.1,93.5
COR-012,Plateau Grassland Route,2026,59.5,29.3,24.4,28.8,19.2,98.0
