threat_id,corridor_id,corridor_name,threat_type,severity_score,trend_change_pct,observed_date,evidence_count
THR-001,COR-001,Western Forest Corridor,Land Use Change,46.4,22.6,2026-07-29,1
THR-002,COR-002,Riverine Green Belt,Roads & Highways,49.7,12.4,2025-12-10,5
THR-003,COR-003,Northern Wildlife Link,Light Pollution,80.6,0.4,2026-04-23,6
THR-004,COR-004,Eastern Hills Corridor,Roads & Highways,89.8,6.5,2026-04-21,7
THR-005,COR-005,Eastern Hills Corridor,Roads & Highways,53.9,16.1,2026-04-14,8
THR-006,COR-006,Coastal Migration Path,Human Encroachment,42.5,-6.9,2026-07-15,8
THR-007,COR-007,Central Grassland Link,Light Pollution,25.5,-2.0,2026-07-17,2
THR-008,COR-008,Southern Forest Arc,Land Use Change,92.4,-10.1,2026-01-07,5
THR-009,COR-009,Southern Forest Arc,Roads & Highways,25.4,-2.8,2026-04-29,1
THR-010,COR-010,River Valley Connector,Light Pollution,56.9,16.8,2026-04-23,7
THR-011,COR-011,Western Ridge Passage,Human Encroachment,44.6,-3.1,2025-12-13,7
THR-012,COR-012,Coastal Wetland Link,Construction Activities,95.3,3.5,2025-12-21,8
THR-013,COR-001,Coastal Wetland Link,Human Encroachment,80.7,6.2,2026-02-27,8
THR-014,COR-002,Eastern Forest Bridge,Light Pollution,33.1,-2.4,2025-12-22,7
THR-015,COR-003,Plateau Grassland Route,Roads & Highways,45.0,2.8,2026-07-20,5
THR-016,COR-004,Western Forest Corridor,Roads & Highways,93.9,6.5,2026-03-30,2
THR-017,COR-005,Western Forest Corridor,Light Pollution,80.2,-1.6,2026-07-06,8
THR-018,COR-006,Riverine Green Belt,Construction Activities,57.0,14.2,2026-06-21,9
THR-019,COR-007,Northern Wildlife Link,Human Encroachment,64.3,5.0,2026-02-19,4
THR-020,COR-008,Eastern Hills Corridor,Construction Activities,82.2,-2.2,2026-07-31,7
THR-021,COR-009,Eastern Hills Corridor,Roads & Highways,91.6,11.9,2026-02-09,3
THR-022,COR-010,Coastal Migration Path,Construction Activities,43.5,-1.1,2026-01-02,8
THR-023,COR-011,Central Grassland Link,Roads & Highways,66.9,11.3,2026-03-23,7
THR-024,COR-012,Southern Forest Arc,Light Pollution,41.9,9.1,2026-04-26,1
THR-025,COR-001,Southern Forest Arc,Human Encroachment,63.2,9.3,2026-03-26,3
THR-026,COR-002,River Valley Connector,Land Use Change,15.6,3.1,2026-01-15,6
THR-027,COR-003,Western Ridge Passage,Human Encroachment,45.2,-4.6,2026-01-08,3
THR-028,COR-004,Coastal Wetland Link,Human Encroachment,74.1,4.0,2026-05-10,6
THR-029,COR-005,Coastal Wetland Link,Construction Activities,77.0,-9.4,2026-03-29,6
THR-030,COR-006,Eastern Forest Bridge,Human Encroachment,58.1,5.6,2025-12-29,3
THR-031,COR-007,Plateau Grassland Route,Land Use Change,53.8,-4.9,2026-01-19,7
THR-032,COR-008,Western Forest Corridor,Light Pollution,100.0,23.4,2026-04-22,2
THR-033,COR-009,Western Forest Corridor,Human Encroachment,56.4,5.4,2026-04-22,2
THR-034,COR-010,Riverine Green Belt,Human Encroachment,17.6,-1.6,2026-07-28,6
THR-035,COR-011,Northern Wildlife Link,Construction Activities,87.3,-3.3,2026-07-28,7
THR-036,COR-012,Eastern Hills Corridor,Human Encroachment,51.7,10.2,2026-04-26,8
THR-037,COR-001,Eastern Hills Corridor,Land Use Change,83.0,-6.4,2026-02-05,7
THR-038,COR-002,Coastal Migration Path,Land Use Change,56.0,-12.8,2025-12-29,9
THR-039,COR-003,Central Grassland Link,Human Encroachment,10.0,-4.5,2026-05-17,9
THR-040,COR-004,Southern Forest Arc,Human Encroachment,41.5,6.4,2026-02-09,8
THR-041,COR-005,Southern Forest Arc,Land Use Change,45.2,1.6,2026-06-03,1
THR-042,COR-006,River Valley Connector,Construction Activities,86.6,1.2,2025-12-14,9
THR-043,COR-007,Western Ridge Passage,Human Encroachment,30.0,-6.1,2026-07-09,3
THR-044,COR-008,Coastal Wetland Link,Human Encroachment,25.6,2.0,2026-04-15,3
THR-045,COR-009,Coastal Wetland Link,Roads & Highways,79.8,-15.2,2026-03-03,8
THR-046,COR-010,Eastern Forest Bridge,Light Pollution,56.6,6.5,2026-07-16,2
THR-047,COR-011,Plateau Grassland Route,Land Use Change,19.3,1.1,2026-01-04,1
THR-048,COR-012,Western Forest Corridor,Light Pollution,99.0,6.1,2026-05-30,8
THR-049,COR-001,Western Forest Corridor,Construction Activities,53.4,-6.7,2025-12-09,1
THR-050,COR-002,Riverine Green Belt,Roads & Highways,69.8,-8.1,2026-01-25,9
THR-051,COR-003,Northern Wildlife Link,Human Encroachment,72.2,25.5,2025-12-31,2
THR-052,COR-004,Eastern Hills Corridor,Human Encroachment,51.5,3.6,2025-12-23,1
THR-053,COR-005,Eastern Hills Corridor,Construction Activities,40.1,-0.8,2026-03-02,9
THR-054,COR-006,Coastal Migration Path,Roads & Highways,59.0,2.6,2026-05-30,5
THR-055,COR-007,Central Grassland Link,Human Encroachment,90.6,-9.5,2026-01-20,4
THR-056,COR-008,Southern Forest Arc,Human Encroachment,79.8,13.8,2026-03-31,2
THR-057,COR-009,Southern Forest Arc,Roads & Highways,84.6,-10.9,2025-12-10,2
THR-058,COR-010,River Valley Connector,Construction Activities,52.3,0.9,2026-04-14,5
THR-059,COR-011,Western Ridge Passage,Human Encroachment,59.9,3.1,2026-07-22,2
THR-060,COR-012,Coastal Wetland Link,Roads & Highways,45.5,3.6,2026-03-05,4
THR-061,COR-001,Coastal Wetland Link,Light Pollution,77.9,-1.9,2026-07-15,9
